ID,Duplicates,CatOrTranslateDate,PrimarySeller,SecondarySeller,InstitutionOrCollection,Buyer,CatalogueID,LotOrCat,Price,Currency,Sold,Source,CurrentLocation,Author,AuthorVariant,Title,Language,Material,Place,LiturgicalUse,Date,Circa,Artist,Scribe,Folios,Columns,Lines,Height,Width,Binding,Provenance,Comments
60,"6,026,813,540",19981202,Sotheby's NY,"Ortiz-Patino, Jaime",,,Jaime Ortiz-Pati������o collection of important books and manuscripts,2,401775,,,,,,,Missal,Latin,V,"France, northeastern, Soissons",,1270,C3Q,,,199,1,17,334,220,,De Ligne|Patino,1899c Bindng
96,,19981123,Christie's,,,,"no. 6055: Valuable illuminated manuscripts, printed books and autograph letters",12,3687.75,,YES,,,,Maestro Giovanni Di Antonio da San Miniato,Catasto,Italian,P,"Italy, Florence",,1457,,,,6,,,300,222,,,
97,"9,722,885",19981123,Christie's,,,,"no. 6055: Valuable illuminated manuscripts, printed books and autograph letters",6,9108,,YES,,,"Isidore of Seville, Saint","Isidore, of Seville,Saint",Synonyma,Latin,V,"Italy, Padua",,1465,C,,,66,1,17,150,108,Later vellum binding,Vanni|Onesti,
98,"989,743",19981123,Christie's,,,,"no. 6055: Valuable illuminated manuscripts, printed books and autograph letters",13,18026.25,,YES,,,,,"Account Book, Francesco Di Giuliano De' Medici",Italian,P,"Italy, Florence",,1470,+,,,198,,,212,140,orig. wallet-style vellum wrapper,De Medici,
189,"189,200,878",19971126,Christie's,,,,Valuable printed books and manuscripts.,5,78987.1,,,,"New York, Morgan Library, MS M.1157",,,"Chronicle, World & Genealogy",French,V,"France, northern",,1470,C,,,1,,,17370,630,,"Stanley, Edward John, Sir",
196,"1,963,085,036,909",19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",21,46920,,,,,,,"Bible, Job, Glossed",Latin,V,France,,1125,C1H,,,90,,21,262,151,,Cistercian Abbey Notre Dame Colombe|de Mojolis,
114,"11,448,873,188,636,100,000",19931124,Christie's NY,,,,no. 5085: Valuable manuscripts and printed books,14,31336.04,,,,,,,Bible,Latin,V,England,,1225,C1H,,,351,1,49,233,160,C1490 binding,Thomas Of Dovaria|Bailey|Smith,
126,"1,263,880,792,211,890,000,000,000,000,000,000,000",19980603,Christie's,,,,no. 5974: Valuable printed books and manuscripts,15,23718.75,,,,,,,Vulgate Bible,Latin,V,"France, Paris?",,1250,CCENT,,,443,2,50,230,152,Early 19thc sheep binding,"Ess, Leander van|Phillipps, Thomas, Sir|Tolson",Phillipps446; Van Ess61
128,"128,977,713,543",19980603,Christie's,,,,no. 5974: Valuable printed books and manuscripts,17,64185,,,,,,,Missal,Latin,V,"France, Paris",Rome|Paris,1415,c+,"Boucicaut Master, style",,270,2,18,288,195,18thc French red binding,Da Montelione|Louis The Bastard|Roussillon|De Boulainvilliers|Derby,
129,,19980603,Christie's,,,,no. 5974: Valuable printed books and manuscripts,20,39847.5,,,,,Aelius Aristides,Aelius Aristides,De Laudibus Urbis Romae,Latin,V,"Italy, Milan",,1455,C,,,40,1,19,165,120,,Nott|Burgon,
130,,19980603,Christie's,,,,no. 5974: Valuable printed books and manuscripts,22,30360,,,,,,,Breviary,Latin,V,"France, Tours?",Rome,1490,C,,,512,2,39,175,125,,De Chalencon|De Rochebaron,
131,"13,140,901,143,815,500",19980603,Christie's,,,,no. 5974: Valuable printed books and manuscripts,19,5692.5,,,,,"Cicero, Marcus Tullius|Sallust","Cicero, Marcus Tullius|Crispus Sallust","De Officiis, Paradoxa, Sinonima(Synonima)|Causa Contra Tullium Ciceronem",Latin,P,"Italy, Milan?",,1425,c1h+,,,169,1,23,216,145,,Bartolo de Doyono|Pistoriensi|Slade,Rebound
139,"1,397,872,941,356,510,000,000,000,000,000,000,000,000",19980421,Sotheby's NY,"Ortiz-Patino, Jaime",,,Jaime Ortiz-Pati������o collection of important books and manuscripts,123,525000,,,,,Guillaume de Deguileville,Guillaume de Guilleville,Pelerinage de la Vie Humaine,French,V,"France, Angers",,1475,C,"Master of Rene II, follower",,148,1,33,290,200,Late 18thc French binding,"Charlotte-Savoy|Launay|Heard|Phillipps, Thomas, Sir",Phillipps228
140,"14,014,289,890",19980421,Sotheby's NY,"Ortiz-Patino, Jaime",,,Jaime Ortiz-Pati������o collection of important books and manuscripts,186,937500,,,,,,,Missal,Latin,V,"Flanders, Antwerp?",,1524,C,Master of Charles V,,108,1,24,440,312,Contemporary red binding,Cruyt|D'arenberg53(Nordkirchen),
144,"144,198,187",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,210,16617.5,,,,"Lawrence J. Schoenberg Coll., LJS 231",,,"Statutes, Barga",Latin,P,"Italy, Barga",,1346,,,Neri Ser Petri De Monte Alcino,28,1,30,300,200,16th vellum over pasteboard,"Feltrinelli, Giannalisa|Morgan Library|Schoenberg, Lawrence J.",Schoenberg231
145,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,224,1311550,,,,,Virgil,Publius Vergilius Maro,"Bucolica(Ecologues), Georgica, Aeneid",Latin,V,"Italy, Milan",,1417,,Tomasino da Vimercate,,184,1,41,335,230,,Collegio Mayor de San Bartolome|Royal Library Spain|Bonaparte|Wellington|Feltrinelli,
146,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,158,10166,,,,,"Dati, Gregorio",Gregorio Dati,"Chronicle, Florence",Italian,P,"Italy, Florence",,1420,C,,,50,1,31,292,218,,Conti|Feltrinelli,
147,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,212,9384,,,,,,,"Statutes, Carpasio",Latin,V,"Italy, Carpasio",,1433,,,,15,1,29,250,185,,Feltrinelli,
148,"148,372,083,083,193,000",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,225,54740,,,,,Virgil,Publius Vergilius Maro,Georgica|Aeneid,Latin,V,"Italy, Florence",,1435,C,"Torelli, Filippo di Matteo?",,220,1,27,255,155,,"Marston|Phillipps, Thomas, Sir|Colman|Vespucci|Feltrinelli",Phillipps2290
149,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,209,7429,,,,,,Maladobato Sommi,De Cremonensi Obsidione,Latin,P,"Italy, Cremona",,1446,,,,12,1,30,200,142,,Sommi|Almerici Da Pesaro|Antaldi|Picenardi|Feltrinelli|Harvard Deposit|Morgan Library Deposit,
150,"1,502,435",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,152,37145,,,,,"Collazio, Pietro Apollonio",Petrus Apollonius Collatius,Epistolarum Liber Ad Pium Secundum..,Latin,V,"Italy, Milan",,1460,C,,Paganus Raudensis,16,1,14,220,155,,Pope Pius Ii|Marston|Yale|Feltrinelli,
152,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,153,105400,,,,,"Columella, Lucius Junius Moderatus",Lucius Junius Moderatus Columella,De Re Rustica,Latin,V,"Italy, Florence",,1462,,"Francesco di Antonio del Chierico, style",,213,1,20,270,185,,Guarnieri|Feltrinelli,
153,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,216,11339,,,,,,,"Statutes, Padua",Latin,P,"Italy, Padua",,1463,,,,122,2,60,435,290,,Feltrinelli,
155,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,159,23460,,,,,,Domenico da Corella,Theotocon,Latin,V,"Italy, Florence",,1468,,,Jacopo di Nicolo di Chocho Donati,71,1,30,245,160,,Donati|St Salvatore Di Ognissanti|Feltrinelli,
156,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,218,9775,,,,,,,"Statutes, Volterra",Latin,P,"Italy, Volterra",,1478,+,Michele Gherarducci,,97,1,20,277,210,,Feltrinelli,
157,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,226,29325,,,,,Virgil,Publius Vergilius Maro,Works,Latin,P,"Italy, Veneto?",,1480,C,,,85,1,20,197,142,,Landau|Feltrinelli,
158,"1,581,002,010,219",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,227,208250,,,,,Vespasiano da Bisticci,Vespasiano da Bisticci,Life of Alessandra Di Bardo De'bardi,Italian,V,"Italy, Florence",,1480,C,"Francesco di Antonio del Chierico, circle",,62,1,18,207,143,,De Bardi|Bodmer|Feltrinelli,
159,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,194,62390,,,,,,,Priorista,Italian,P,"Italy, Florence",,1485,C,,,176,1,45,290,215,,Buondelmonti|Conti|Feltrinelli,
160,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,214,23460,,,,,,,"Statutes, Cilento",Latin,V,"Italy, Naples?",,1494,,,,12,1,30,340,240,,Feltrinelli,
161,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,230,39100,,,,,"Villani, Giovanni",Giovanni Villani,Chronicle,Italian,P,"Italy, Florence",,1350,CCENT,,,414,2,39,395,290,,Sommaia|Sarzelli|Bardi|Feltrinelli,
162,"162,256,781,939,189,000",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,215,50536.75,,,,,,,"Statutes, Mantua",Latin,V,"Italy, Mantua",,1325,C1H,,,101,2,38,346,263,,"Baylardinus|Bonadeis|Lanzoni|Phillipps, Thomas, Sir|Feltrinelli",Phillipps301
163,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,166,16617.5,,,,,Lucan,Lucan,Fatti Di Cesare,Italian,V,"Italy, northern?",,1375,C2H,,,48,2,42,292,214,,Feltrinelli,
164,"164,196,173",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,220,31280,,,,"Lawrence J. Schoenberg Coll., LJS 232","Varchi, Benedetto",Benedetto Varchi,Proportioni...,Italian,P,Italy,,1539,,,,101,1,23,220,165,Parchment wrapper,"Antonio, Marco|Feltrinelli, Giannalisa|Schoenberg, Lawrence J.",Schoenberg232
165,"1,651,637,616,423,190,000",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,173,13685,,,,,,Jacopo Malvezzi (Jacobus de Malvetius),Brescia Chronicle to 1332,Latin,P,"Italy, Brescia",,1450,CCENT,,,144,1,27,280,205,,"North, Frederick, 5th Earl of Guilford|Phillipps, Thomas, Sir|Feltrinelli",Phillipps5842
167,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,195,14662.5,,,,,,,"Chronicle, Reggio Emilia",Latin,P,"Italy, Reggio Emilia",,1425,c1h+,,,48,1,38,280,210,,"Gualterus|Sogarius|North, Frederick, 5th Earl of Guilford|Phillipps, Thomas, Sir|Feltrinelli",Phillipps6060
168,"1,681,382,896,436,190,000",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,211,9775,,,,,,,"Statutes, Compagnia Dei Brentaori-Bologna",Italian,V,"Italy, Bologna",,1475,C,,,12,1,35,290,210,,Feltrinelli|Les Enluminures,
169,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,213,20527.5,,,,,,,"Statutes, Como",Latin,P,"Italy, Como",,1425,c1h+,,,245,1,45,281,200,,Mazzuco|Cosogna|Feltrinelli,
170,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,140,27370,,,,,"Boccaccio, Giovanni|Andrea da Barberino",Giovanni Boccaccio|Andrea da Barberino,"Ninfale Fiesolano, Stanza Per Una Schermaglia",Italian,P,"Italy, Florence",,1438,c2q?,,,99,1,24,215,145,,Conti|Feltrinelli,
171,"171,178,640",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,193,31280,,,,,,,Portolan,Italian,P,"Italy, northern? Genoa?",,1463,C3Q,,,78,1,24,227,160,,Feltrinelli,
173,"17,313,829",19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,156,33235,,,,"Lawrence J. Schoenberg Coll., LJS 230","Crescenzi, Pietro de'",Petrus de Crescentiis,Ruralium Commodorum,Italian,P,"Italy, Pisa or Florence",,1450,C,,Silvestro de' Palmieri,170,1,42,335,235,,"Lotteringhi Della Stufa|Feltrinelli|Schoenberg, Lawrence J.|Fogg",
174,,19971203,Christie's,"Feltrinelli, Giannalisa",,,Giannalisa Feltrinelli library,139,27370,,,,,"Boccaccio, Giovanni",Giovanni Boccaccio,Life of Dante,Italian,P,"Italy, Florence",,1450,C,,,30,1,34,295,215,,Feltrinelli,
197,,19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",23,5865,,,,,,,Translation & Passion of St. Chrysogonus,Latin,V,"Dalmatia, Zara",,1275,C2H,,Later Zoilus Loannes,21,2,,345,240,,,17thc paper Wrappers
198,"1,986,166",19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",22,17595,,,,,,,Bible,Latin,V,"France, Paris?",,1263,C3Q,,,499,2,50,152,105,15th C Paneled binding,Fortescue,
199,"19,928,716",19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",24,2737,,,,,,Thomas de Lisle (Atr),Sermones de Tempore,Latin,V,Italy,,1350,CCENT,,,173,2,34,168,120,,Beltrandus|Martignonus|Zappola,
200,,19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",29,5865,,,,,,,Ordinal,German,P,"Germany, Engelthal",Dominican,1504,,,,86,1,21,212,150,Orig binding,Dominican Nuns-Engelthal,
201,,19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",25,7820,,,,,,,Psalter,Latin,V,"Spain, Catalonia, Tarragona?",,1420,CEARLY,,,349,1,14,75,58,,,Old Sheep
202,,19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",26,5865,,,,,"Zerbolt, Gerard",Gerhard Zerbold Von Zutphen,De Reformatione Trium Virium Animae,Latin,V,Netherlands?,,1420,CEARLY,,,41,1,23,127,89,,,Reused Green Velvet
203,,19970625,Christie's,,,,"Valuable printed books, manuscripts and music.",30,,,NO,,,,,Psalter,Latin,V,Spain,,1550,CCENT,,,103,1,15,583,403,,,"Old leather,19th C bosses"
258,"8,825,830,088",19961008,Christie's NY,"Levinson, Harry A.",,,"Books from the estate of Harry A. Levinson: including reference and remaining stock, early printed books (including incunabula), and science & medicine, occult, magic, & witchcraft, English literature.",120,6900,,,,,"Gregory I, Pope","Gregory, the Great, Pope",Homiliae Xl In Evangelia|Sermones de Tempore,Latin,V,"Netherlands, northern, Delft?",,1440,C,,,275,2,39,290,210,Contemporary binding,New Church-Delft,
262,,19960626,Christie's,,,,"no. 5621: Valuable printed books, music and manuscripts",14,45500,GBP,YES,,,,,Bible,Latin,V,"France, northern, Paris",,1250,C,"Johannes Grusch Atelier, style",,552,2,50,290,188,,,Leaf Sold at Sotheby's 20010619-16
263,"26,335,393,580",19960626,Christie's,,,,"no. 5621: Valuable printed books, music and manuscripts",13,8280,GBP,YES,,,,,Psalter,Latin,V,"Germany, Cologne?",,1440,C,,,231,1,15,124,88,15thc Westphalian blind-stamped binding,White,
264,"264,931,196,172",19960626,Christie's,,,,"no. 5621: Valuable printed books, music and manuscripts",19,1250000,,,,"Lawrence J. Schoenberg Coll., LJS 225",,Michele Zopello,Litterarum Simulationis & Deciferis,Latin,V,"Italy, Rome",,1458,,Gioacchino di Gigantibus de Rottenburg,,20,1,24,223,147,,"Pope Calixtus III|Schoenberg, Lawrence J.",Schoenberg225
265,"265,175,041,750,517,000,000,000,000,000,000,000,000,000,000",19960626,Christie's,,,,"no. 5621: Valuable printed books, music and manuscripts",16,6325,GBP,YES,,Rare Book & Manuscript Library University of Pennsylvania LJS 61,,,Register of Writs & Formulary,Latin,V,"England, London",,1413,C1Q,,,231,1,37,263,180,,"Nevill, Robert|Fowle, Nicolas|Thomson, Thomas|Clarke, Adam, Dr.|Baynes|Phillipps, Thomas, Sir|Schoenberg, Lawrence J.",Phillipps MS no. 10349; LJS MS 61
293,,19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",1,3220,GBP,YES,,,,,"Statutes, Vogogna",Latin,V,"Italy, northwestern, Vogogna",,1374,,,,20,1,25,203,152,contemporary wooden boards,Lossettus,
294,"294,188,100",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",6,32200,GBP,YES,,Schoyen Collection MS 2106,"Seneca, Lucius Annaeus, the Younger",Seneca,Epistolae,Latin,V,"Italy, Milan",,1440,C,Master of the Vitae Imperatorum?,,224,1,29,228,164,"contemporary panelled calf over wooden boards, blind-tooled",De Garbagnate|Sordi,
295,,19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",2,2990,GBP,YES,,,,,Guild of Genoa Metalworkers,Italian,V,"Italy, Genoa",,1440,c+,,,42,,,235,167,18thc calf,,
296,"2,967,431,571,188,110",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",5,27600,GBP,YES,,Schoyen Collection MS 2105,"Petrarca, Francesco",Francesco Petrarch,Triomphi,Italian,V,"Italy, Florence",,1463,C,"Ricciardo di Nanni, Ser?",,53,1,21,200,130,"contemporary Florentine panelled goatskin, blind-tooled",Du Greil?|Turner|Knight,
297,"2,971,030,712,005,140,000,000,000,000,000,000",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",8,13800,GBP,YES,,"Lawrence J. Schoenberg Coll., LJS 048",,,Instrumenta Feudorum Castri Sonae,Latin,V,"Italy, Verona",,1504,C,,"Ruffo And Di Nicolo Medico,Felice Feliciano",26,1,30,305,187,contemporary Veronese brown calf over wooden boards,"Faella, Giovanni|Abbey, Major J.R.|Thomas, Alan|Cron, B.S.|Schoenberg, Lawrence J.",Commissioned by Count Giovanni Faella of Verona; Schoenberg48
298,"2,987,171,572",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",7,28750,GBP,YES,,,Terence,Publius Terentius Afer,Comoediae,Latin,V,"Italy, Florence?",,1438,C2Q,,,117,1,27,244,160,"late 18thc red morocco gilt, spine and edges gilt",Gladstone|Turner|Core,
299,"29,956,302",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",3,4370,GBP,YES,,,,Alexander de Ariosti of Ferrara,Contractuum Editus,Latin,V,"Italy, Bologna?",,1463,C3Q,,,100,1,33,130,96,"18thc sheep, black morocco back",Brothers Cherubini-St Agatha|Bignon,
300,"300,744",19960403,Christie's,,,,"no. 5571: Valuable continental books and fine bindings, mainly Italian",4,17250,GBP,YES,,,"Cicero, Marcus Tullius","Cicero, Marcus Tullius",Amicitia|Paradoxa|Senectute,Latin,V,"Italy, northeastern? Ferrara?",,1463,C3Q,,,60,1,26,204,130,"contemporary panelled sheep over wooden boards, blind-tooled",Core,
319,,19951129,Christie's London,,,,"no. 5518: Valuable printed books and manuscripts, autograph letters and music",6,8050,GBP,YES,,,Macer Floridus|[Odo de Meung (Attr)],Macer Floridus|(Odo of Meung) (Atr.),De Viribus Herbarum,Latin,V,Germany,,1188,C4Q,,,22,1,29,200,125,"antique-style wooden boards with calf back, 15thc endpapers",,
320,"320,138,181,385,630,000,000,000,000,000,000",19951129,Christie's London,,,,"no. 5518: Valuable printed books and manuscripts, autograph letters and music",8,25300,GBP,YES,,,,,"Psalter, Liturgical",Latin,V,"France, Auxerre",Auxerre,1335,C,,,128,2,29,205,138,late 15thc blind-tooled calf over wooden boards,"Cathedral of St Etienne, Auxerre|Dickinson|Riley|Zeileis|Gunther",
336,,19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,13,13174.4,,,,,,,Breviary,Latin,V,"Flanders, Tournai?",Augustinian,1275,C2H,,,289,1,16,70,49,,,15thc Blind-Tooled binding
337,"337,858,110,503",19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,15,6022.4,,,,,,,Breviary,Latin,V,"Italy, northern?",Augustinian,1450,C,,,499,1,20,130,95,,Spence|Morse|T.F.R.,Early 19thc Stained Yellow
338,,19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,20,,,NO,,,,,"Genealogy, Kings of England, France & the Dukes of Burgundy",Latin,V,"France, northern",,1475,C,,,1,,,1240,615,,"Phillipps, Thomas, Sir|Boone",Phillipps24978
339,"118,674,339,138,811,000",19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,21,,,NO,,,,,Antiphoner,Latin,V,"Italy, Siena",,1480,C,"Pellegrino di Mariano, circle",,149,1,6,550,400,,Gruel,Early binding
340,"3,401,548",19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,23,,,NO,,,,,Missal/Breviary,Latin,V,Silesia?,Franciscan,1500,C,,,267,1,18,95,70,,Nordback,18thc black binding
341,,19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,22,8468.8,,,,,,,Missal,Latin,V,"Germany, Bamberg",,1475,C2H,,,327,1,15,127,90,,O|H.,Contemporary Panelled binding
342,"2,334,235,713",19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,19,0,,,,,,,Breviary,Latin,V,"Italy, northeastern? Veneto?",Rome,1463,C3Q,,,611,2,30,225,158,,Franciscan House-Trento|Nicholson?|Ritman,19thc antique Style binding
343,,19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,24,24465.6,,,,,"Frescobaldi, Leonardo",Leonardo Frescobaldi,Viaggio D'oltremare,Italian,V,"Italy, Florence",,1420,CEARLY,,,31,1,35,253,178,,Frescobaldi,18thc binding
344,,19950628,Christie's,,,,Valuable illuminated manuscripts and printed books.,25,6398.4,,,,,,,"Statutes, Forest",English,P,England,,1513,C1Q,,,16,,,300,200,,,
394,"39,429,291,206,612,000,000,000,000,000,000",19950519,Christie's NY,,,,No. 8196: Printed books and manuscripts including Americana,94,20700,,,,,,,Bible,Latin,V,England,,1250,CCENT,,,429,2,46,300,202,,Sherwood-Hale|Stilwell|Thomas|Allen,
395,"395,359,356,561,351,000,000",19950519,Christie's NY,,,,No. 8196: Printed books and manuscripts including Americana,95,20500,,,,,"Boccaccio, Giovanni",Giovanni Boccaccio,Des Casibus Virorum & Feminarum Illustrium,French,V,"France, Paris",,1470,C,"Maitre Francois, style",,247,2,51,500,350,,Sassenages|Foucault|Powell,
397,,19950519,Christie's NY,,,,No. 8196: Printed books and manuscripts including Americana,96,,,NO,,,Nicholas of Osimo,Nicolaus de Ausmo,Supplementum Summae Pisanellae,Latin,V,Italy,,1450,C,,,360,2,47,182,125,contemporary reverse tawed leather over wooden boards,,
402,"4,021,093,221,857",19950425,Christie's NY,"Neufeld, Philip M.",,,"no. 8144: The Philip M. Neufeld collection: manuscripts and printed books, Part I",184,4370,,,,,,,Diurnal,Latin,V,Germany,Cistercian,1468,,,Johannes Zurn,274,1,17,100,68,,Neufeld,Orig red-Stained binding
